experiment_name,num_clients,timestamp,tput,latency
pesto,3,2025-10-28-16-04-42,468.0,6.567894860612536
pesto,5,2025-10-28-16-06-47,841.5333333333333,6.090008637764399
pesto,10,2025-10-28-16-08-52,1864.3666666666666,5.49430874849368
pesto,15,2025-11-05-14-23-11,2718.5666666666666,5.6535751628799495
pesto,20,2025-10-28-15-50-50,3460.6666666666665,5.921043323088037
pesto,25,2025-10-28-15-52-55,3757.9,6.81627620553146
pesto,30,2025-10-28-15-55-00,3855.366666666667,7.975834416657301
pesto,40,2025-10-28-15-57-05,3873.5,10.583735467553032
pesto,50,2025-10-28-15-59-10,3913.366666666667,13.101942719704262
sintr-policy1,3,2025-11-05-13-39-00,404.0,7.617080778217821
sintr-policy1,5,2025-11-05-13-41-07,700.9,7.32278005374043
sintr-policy1,10,2025-11-05-13-43-12,1530.9333333333334,6.704141596455322
sintr-policy1,15,2025-11-05-13-46-23,2529.266666666667,6.085102878779091
sintr-policy1,20,2025-11-05-13-48-30,3055.6666666666665,6.713407244540199
sintr-policy1,25,2025-11-05-13-50-35,3293.7,7.7855814860896055
sintr-policy1,30,2025-11-05-13-31-36,3568.766666666667,8.628703474122712
sintr-policy1,40,2025-11-05-13-33-43,3631.5333333333333,11.307811855689977
sintr-policy1,50,2025-11-05-13-35-48,3655.4,14.033575104420855
sintr-policy2,3,2025-11-05-14-01-10,377.3333333333333,8.163748794876325
sintr-policy2,5,2025-11-05-14-03-17,653.9333333333333,7.853083694260373
sintr-policy2,10,2025-11-05-14-05-22,1416.1333333333334,7.25109466848696
sintr-policy2,15,2025-11-05-14-08-38,2429.1,6.337409658007767
sintr-policy2,20,2025-11-05-14-10-53,2947.3,6.965727759237266
sintr-policy2,25,2025-11-05-14-12-57,3173.1,8.088361111436765
sintr-policy2,30,2025-11-05-13-53-46,3468.3333333333335,8.879756708351755
sintr-policy2,40,2025-11-05-13-55-53,3515.266666666667,11.683129025830187
sintr-policy2,50,2025-11-05-13-57-58,3544.3,14.475842065278524
peloton-HS,20,2025-11-06-13-36-44,681.0,30.19399388184043
peloton-HS,30,2025-11-06-13-38-57,1056.6333333333334,29.185146801476392
peloton-HS,40,2025-11-06-13-41-06,1492.6666666666667,27.541201820656543
peloton-HS,50,2025-11-06-13-43-15,1877.1,27.365604613677128
peloton-HS,60,2025-11-06-13-45-24,2144.9333333333334,28.75921538593274
peloton-HS,72,2025-11-06-13-47-33,2464.0,30.044606242694805
peloton-HS,90,2025-11-06-13-49-43,2836.6,32.61568328755083
peloton-HS,100,2025-11-06-13-51-52,3028.7,33.95105578216176
peloton-HS,120,2025-11-06-13-54-02,3361.3,36.71543130093515
peloton-HS-policy1,20,2025-11-06-13-56-58,665.1,30.913588640705658
peloton-HS-policy1,30,2025-11-06-13-59-09,1041.9666666666667,29.59729151198055
peloton-HS-policy1,40,2025-11-06-14-01-17,1442.9,28.486009429944325
peloton-HS-policy1,50,2025-11-06-14-03-26,1796.1666666666667,28.618280227781387
peloton-HS-policy1,60,2025-11-06-14-05-36,2112.9333333333334,29.187071671657094
peloton-HS-policy1,72,2025-11-06-14-07-45,2419.4333333333334,30.60346181626552
peloton-HS-policy1,90,2025-11-06-14-09-54,2795.9666666666667,33.09897983201994
peloton-HS-policy1,100,2025-11-06-14-12-03,2970.9,34.62166444811337
peloton-HS-policy1,120,2025-11-06-14-14-13,3287.233333333333,37.53707998487076
peloton-HS-policy2,20,2025-11-06-14-17-09,647.7,31.757301723328702
peloton-HS-policy2,30,2025-11-06-14-19-20,1027.0666666666666,30.034119211833055
peloton-HS-policy2,40,2025-11-06-14-21-30,1430.4333333333334,28.748204244611188
peloton-HS-policy2,50,2025-11-06-14-23-39,1788.1333333333334,28.74499235407501
peloton-HS-policy2,60,2025-11-06-14-25-48,2081.0,29.642305067451552
peloton-HS-policy2,72,2025-11-06-15-37-56,2374.0666666666666,31.197412231164535
peloton-HS-policy2,90,2025-11-06-15-40-07,2736.266666666667,33.81765371889924
peloton-HS-policy2,100,2025-11-06-15-42-17,2904.9,35.413789193523584
peloton-HS-policy2,120,2025-11-06-15-44-27,3275.633333333333,37.683673636599536
peloton-smart,5,2025-11-06-15-59-47,230.56666666666666,22.264280689749892
peloton-smart,10,2025-11-06-16-02-03,471.43333333333334,21.77980369454854
peloton-smart,15,2025-11-06-16-04-16,709.7333333333333,21.710034348252865
peloton-smart,30,2025-11-06-16-06-30,1427.1,21.594532879102143
peloton-smart,40,2025-11-06-16-08-44,1863.3333333333333,22.05147916110912
peloton-smart,60,2025-11-06-16-10-57,2459.2,25.072454760843637
peloton-smart,72,2025-11-06-16-13-11,2717.3,27.232113098320635
peloton-smart,90,2025-11-06-16-15-26,3008.9666666666667,30.745038259712636
peloton-smart,100,2025-11-06-16-17-39,3051.6,33.707434800214095
peloton-smart-policy1,5,2025-11-06-16-20-40,219.76666666666668,23.367753700591535
peloton-smart-policy1,10,2025-11-06-16-22-55,455.43333333333334,22.554569837956524
peloton-smart-policy1,15,2025-11-06-16-25-09,685.0,22.48629020053528
peloton-smart-policy1,30,2025-11-06-16-27-23,1401.6333333333334,21.988893746272208
peloton-smart-policy1,40,2025-11-06-16-29-37,1820.4,22.566302876895186
peloton-smart-policy1,60,2025-11-06-16-31-51,2490.866666666667,24.753711985399995
peloton-smart-policy1,72,2025-11-06-16-34-05,2720.5333333333333,27.198123635267596
peloton-smart-policy1,90,2025-11-06-16-36-20,2948.9666666666667,31.381603610541546
peloton-smart-policy1,100,2025-11-06-16-38-35,3040.3333333333335,33.828642615228596
peloton-smart-policy2,5,2025-11-06-16-41-36,214.6,23.931424080304442
peloton-smart-policy2,10,2025-11-06-16-43-52,449.43333333333334,22.858538158125047
peloton-smart-policy2,15,2025-11-06-16-46-07,672.1,22.92847135857759
peloton-smart-policy2,30,2025-11-06-16-48-22,1393.4333333333334,22.119662512403412
peloton-smart-policy2,40,2025-11-06-16-50-36,1821.0,22.56653530909757
peloton-smart-policy2,60,2025-11-06-16-52-51,2456.9666666666667,25.102773384172895
peloton-smart-policy2,72,2025-11-06-16-55-05,2703.4,27.377710145964343
peloton-smart-policy2,90,2025-11-06-16-57-19,2932.366666666667,31.572704630992035
peloton-smart-policy2,100,2025-11-06-16-59-33,2991.7,34.3760594531203
